GC,weightedBarPower,numProjects,stablePartners,activityType,betwCentrality
True,-0.00406686,6.0,16.0,PUB,111.649
True,-0.0725696,2.0,1.0,REC,0.0
True,0.0171132,250.0,235.0,HES,87680.2
True,-0.0323669,2.0,2.0,PRC,0.0
True,-0.0200301,3.0,4.0,PRC,429.047
True,0.00301691,13.0,18.0,PRC,13971.7
True,0.0228928,17.0,3.0,HES,0.0
True,-0.0322472,3.0,2.0,PRC,0.0
True,0.0163551,20.0,16.0,REC,14462.6
True,-0.0954885,5.0,1.0,HES,0.0
True,-0.000299208,13.0,45.0,HES,32140.1
True,0.035312,26.0,28.0,HES,2178.26
True,0.0275776,59.0,67.0,HES,14336.7
True,0.000496341,54.0,66.0,HES,46415.5
True,-0.00323745,26.0,30.0,HES,215.377
True,-0.00137989,44.0,49.0,HES,7503.49
True,0.0115962,32.0,30.0,HES,457.534
True,-0.00322229,4.0,7.0,PRC,13.1229
True,-0.00251407,25.0,67.0,PUB,28446.1
True,-0.00589214,39.0,64.0,PRC,26537.5
True,-0.0157033,2.0,7.0,PRC,0.0
True,-0.0273327,2.0,7.0,PRC,0.0
True,-0.020471,5.0,4.0,PRC,3.84141
True,0.0121207,2.0,7.0,PRC,0.0
True,-0.0355201,2.0,2.0,PRC,0.0
True,0.0191167,60.0,63.0,HES,9449.74
True,0.014123,153.0,186.0,HES,74591.3
True,-0.0123704,4.0,1.0,REC,0.0
True,0.0161851,4.0,3.0,PRC,0.0
True,0.0307883,46.0,38.0,REC,23251.6
True,0.0146143,35.0,79.0,PRC,35469.8
True,0.00963439,60.0,82.0,HES,67837.9
True,-0.0350071,11.0,8.0,HES,4.83307
True,0.0073777,4.0,3.0,PRC,3136.0
True,0.0117728,37.0,51.0,HES,5759.08
True,-0.0416042,2.0,1.0,PRC,0.0
True,-0.0510058,13.0,10.0,HES,106.2
True,-0.0112664,17.0,29.0,PRC,1496.8
True,-0.0348421,2.0,1.0,PRC,0.0
True,-0.0174217,4.0,1.0,REC,0.0
True,0.00534679,3.0,1.0,PRC,0.0
True,0.00261985,59.0,115.0,HES,21784.5
True,-0.00321699,38.0,99.0,HES,8507.54
True,-0.0039732,12.0,11.0,REC,417.586
True,0.248662,2.0,3.0,PRC,0.0
True,0.000351165,132.0,207.0,HES,134531.0
True,-0.0374245,21.0,48.0,REC,4258.63
True,0.00738625,101.0,146.0,HES,33291.1
True,0.000264283,81.0,113.0,HES,19807.2
True,0.00874244,29.0,40.0,HES,8985.11
True,0.00872596,8.0,26.0,PUB,19.3312
True,0.00231658,25.0,66.0,REC,6768.53
True,-0.00269194,3.0,13.0,PUB,39.4846
True,-0.019047,15.0,28.0,REC,3493.31
True,-0.032327,10.0,44.0,PUB,1736.57
True,-0.0590105,9.0,25.0,OTH,85.884
True,-0.0112438,5.0,1.0,PRC,0.0
True,-0.00825992,3.0,2.0,PRC,0.0
True,-0.0799753,6.0,16.0,REC,167.626
True,-0.00844342,15.0,14.0,PRC,4001.91
True,0.0319016,114.0,158.0,REC,77555.4
True,0.0202019,16.0,41.0,REC,12379.5
True,-0.00919931,5.0,19.0,REC,272.41
True,-0.0114524,6.0,22.0,REC,406.328
True,-0.0167579,14.0,16.0,HES,141.446
True,-0.0440507,2.0,6.0,HES,0.0
True,0.0185049,62.0,51.0,HES,17437.3
True,0.29657,2.0,2.0,PRC,0.0
True,-0.0279549,11.0,35.0,PUB,1001.79
True,-0.019871,4.0,2.0,HES,2.26857
True,0.0145228,5.0,1.0,REC,0.0
True,0.0154418,29.0,38.0,HES,1125.13
True,-0.0134316,47.0,86.0,REC,4744.22
True,0.0466257,6.0,5.0,HES,0.0
True,0.028928,15.0,23.0,HES,335.337
True,0.0204985,5.0,8.0,PUB,36.821
True,-0.0066097,50.0,60.0,HES,6330.5
True,-0.0122158,33.0,101.0,REC,23356.6
True,-0.011841,13.0,23.0,PUB,537.352
True,5.81864e-06,59.0,52.0,HES,8122.01
True,0.0116072,64.0,94.0,HES,19084.5
True,-0.0249598,4.0,11.0,REC,227.681
True,-0.00496253,5.0,3.0,REC,3136.0
True,0.00831959,6.0,5.0,PRC,3151.52
True,-0.0224442,13.0,45.0,HES,1249.71
True,-0.0240555,15.0,18.0,HES,176.335
True,-0.0219061,3.0,2.0,HES,0.0
True,0.020688,17.0,7.0,HES,3870.59
True,0.0130373,12.0,6.0,HES,109.823
True,0.0102389,70.0,94.0,HES,21309.8
True,-0.0156246,17.0,46.0,HES,6725.25
True,0.00092738,15.0,6.0,REC,48.9568
True,-0.0215297,20.0,24.0,REC,5224.79
True,-0.0101558,22.0,18.0,HES,287.776
True,-0.100983,5.0,1.0,PRC,0.0
True,0.0421871,23.0,10.0,HES,0.0
True,0.0352111,3.0,1.0,PRC,0.0
True,-0.00476492,10.0,5.0,HES,16.4702
True,0.0863771,6.0,4.0,PRC,3136.0
True,-0.00241668,17.0,2.0,REC,0.0
True,0.000215211,103.0,140.0,HES,54621.7
True,-0.0100239,20.0,25.0,REC,3268.15
True,0.0472337,33.0,13.0,HES,450.853
True,0.00396545,3.0,1.0,PRC,0.0
True,-0.0157332,7.0,7.0,REC,0.0
True,0.00342544,81.0,75.0,HES,11211.9
True,0.00921835,28.0,18.0,HES,988.934
True,-0.0563272,4.0,1.0,HES,0.0
True,0.0117545,4.0,1.0,PRC,0.0
True,0.0178259,36.0,41.0,HES,11667.7
True,0.0219694,81.0,140.0,HES,51992.7
True,0.00442063,11.0,13.0,REC,66.8533
True,0.0190249,82.0,110.0,HES,26714.3
True,-0.00929359,49.0,55.0,HES,5431.1
True,0.0108003,34.0,37.0,HES,6712.24
True,-0.00334863,45.0,9.0,HES,3.37039
True,0.0129832,26.0,9.0,REC,127.417
True,0.00341136,25.0,21.0,HES,3332.81
True,0.00965772,11.0,4.0,HES,6041.21
True,-0.0157178,23.0,8.0,REC,3144.23
True,-0.0091101,37.0,70.0,REC,7867.53
True,-0.00142952,83.0,93.0,HES,11059.2
True,-0.0358773,9.0,1.0,HES,0.0
True,-0.00533861,13.0,12.0,HES,23.1796
True,-0.00164735,26.0,32.0,HES,256.939
True,0.0032705,105.0,164.0,HES,63780.2
True,0.0428347,60.0,128.0,REC,13319.9
True,0.0235409,28.0,29.0,HES,12957.9
True,0.00492189,23.0,6.0,HES,31.6128
True,0.00120263,6.0,2.0,HES,0.0
True,0.0456542,4.0,4.0,REC,1.0
True,0.0031566,35.0,29.0,HES,370.064
True,0.00219466,13.0,2.0,REC,0.0
True,0.00517825,12.0,9.0,HES,9353.64
True,-0.0135447,8.0,8.0,PRC,3142.71
True,-0.00348364,90.0,172.0,HES,45267.7
True,0.0330279,35.0,40.0,REC,3755.39
True,-0.00397342,44.0,34.0,HES,3671.97
True,-0.0281033,10.0,8.0,HES,9422.34
True,0.0541029,3.0,4.0,REC,0.0
True,-0.0153886,26.0,11.0,HES,2020.1
True,0.0193936,8.0,11.0,REC,25.0457
True,-0.0105336,15.0,2.0,HES,1.05837
True,0.0230911,37.0,39.0,HES,2712.84
True,0.0258982,187.0,212.0,HES,89298.4
True,0.00639263,12.0,11.0,HES,1908.15
True,-0.0141006,24.0,13.0,HES,2750.96
True,-0.0437349,14.0,8.0,HES,57.994
True,0.00774847,12.0,12.0,HES,63.8392
True,0.00978998,56.0,49.0,HES,10437.8
True,0.0107415,59.0,49.0,HES,1982.43
True,0.00303711,37.0,55.0,HES,5444.85
True,0.0145511,3.0,2.0,HES,0.0
True,0.0246814,26.0,19.0,HES,343.424
True,0.0733946,14.0,13.0,HES,47.3516
True,0.013537,31.0,36.0,HES,8013.0
True,-0.00598836,12.0,11.0,HES,1.39729
True,0.00559853,66.0,83.0,HES,29129.9
True,0.0178408,12.0,3.0,HES,33.2286
True,-0.00422695,25.0,27.0,HES,1530.17
True,-0.377011,4.0,1.0,REC,0.0
True,0.0393242,13.0,3.0,HES,3170.01
True,0.00478137,6.0,10.0,REC,38.6352
True,0.00226015,34.0,43.0,HES,12560.8
True,-0.00174943,9.0,5.0,PUB,12.7345
True,-0.00939861,55.0,82.0,HES,21003.3
True,-0.00292792,35.0,17.0,REC,3257.34
True,-0.00820226,83.0,84.0,HES,9103.74
True,-0.02679,37.0,20.0,HES,291.398
True,0.0316836,55.0,209.0,REC,78153.0
True,-0.00649305,36.0,57.0,HES,3161.22
True,0.00877546,12.0,16.0,HES,173.566
True,-0.0129166,15.0,30.0,HES,2352.59
True,0.00447921,20.0,29.0,HES,398.672
True,0.0040966,10.0,2.0,REC,0.0
True,-0.00379797,60.0,81.0,HES,10943.4
True,0.022883,10.0,7.0,HES,117.366
True,-0.0095964,15.0,5.0,HES,143.736
True,0.00847612,35.0,68.0,REC,2647.94
True,0.00216854,77.0,78.0,HES,21861.1
True,-0.00152745,71.0,103.0,HES,8102.9
True,0.0193697,28.0,41.0,REC,2152.52
True,0.00699157,17.0,3.0,HES,15.2292
True,0.00498272,100.0,72.0,HES,11308.9
True,0.0038562,35.0,49.0,HES,6560.74
True,0.00662421,25.0,11.0,HES,48.5334
True,0.00411132,65.0,97.0,HES,20670.0
True,0.00943593,4.0,1.0,HES,0.0
True,-0.0209614,42.0,62.0,HES,4366.6
True,0.000751283,25.0,17.0,HES,381.633
True,0.0040065,46.0,60.0,HES,17419.2
True,-0.0087258,11.0,4.0,REC,3326.4
True,-0.000112165,13.0,16.0,HES,94.5302
True,0.0639829,30.0,20.0,HES,13935.1
True,0.00521993,76.0,90.0,HES,8328.73
True,-0.00534844,32.0,36.0,HES,1266.53
True,-0.00756235,41.0,45.0,HES,10648.5
True,0.0382926,49.0,91.0,HES,11584.2
True,0.00305533,57.0,44.0,HES,11715.0
True,0.211775,5.0,10.0,HES,0.0
True,0.00395221,57.0,118.0,HES,11649.2
True,0.00785472,100.0,158.0,HES,57587.8
True,-0.0015629,63.0,65.0,REC,9309.12
True,0.00452229,13.0,58.0,REC,2839.48
True,0.0561174,7.0,2.0,REC,0.0
True,-0.00511004,84.0,144.0,HES,49898.3
True,-0.0010771,61.0,77.0,HES,7044.92
True,0.0125007,50.0,89.0,HES,18616.2
True,-0.00662933,5.0,5.0,REC,0.0
True,-0.00530696,27.0,23.0,HES,121.23
True,-0.0169362,16.0,9.0,HES,3252.57
True,0.00195437,19.0,24.0,HES,62.6818
True,0.00860955,28.0,14.0,HES,34.6823
True,0.00199237,11.0,7.0,REC,0.204275
True,0.128459,8.0,3.0,HES,64.382
True,0.000654315,23.0,11.0,HES,563.924
True,-0.0244271,24.0,28.0,HES,1473.08
True,-0.0011935,18.0,8.0,HES,3138.69
True,-0.0054986,4.0,4.0,REC,0.0
True,-0.00983533,6.0,3.0,HES,0.0
True,-0.0089602,7.0,6.0,HES,46.396
True,0.00793028,46.0,140.0,HES,13701.9
True,0.0325398,17.0,56.0,REC,1140.76
True,-0.00756013,9.0,7.0,HES,45.398
True,0.0040506,53.0,90.0,HES,29263.7
True,0.00291549,13.0,20.0,HES,2042.38
True,0.00951553,20.0,24.0,HES,117.753
True,0.0885227,8.0,13.0,REC,287.149
True,0.00206991,11.0,42.0,REC,646.961
True,0.0227215,13.0,11.0,HES,3508.25
True,8.77332e-05,29.0,74.0,HES,6582.5
True,-0.0911347,3.0,3.0,PRC,0.0
True,0.00489783,5.0,9.0,REC,15.7232
True,-0.00397674,5.0,2.0,PRC,0.0
True,-0.038593,2.0,2.0,REC,0.0
True,0.00287244,20.0,37.0,REC,1142.49
True,0.00464271,11.0,2.0,REC,0.0
True,0.0100202,38.0,31.0,REC,4633.75
True,0.00483114,74.0,124.0,HES,50636.7
True,0.0201565,49.0,36.0,HES,6091.3
True,-0.0131323,14.0,31.0,HES,1910.86
True,-0.00332096,14.0,21.0,HES,157.168
True,0.0314227,15.0,7.0,HES,2.20874
True,0.00275943,17.0,38.0,REC,5957.97
True,0.00474637,23.0,47.0,REC,7976.59
True,0.0556114,7.0,5.0,HES,1.29134
True,0.0133612,6.0,5.0,OTH,4990.89
True,0.041309,8.0,2.0,PRC,52.238
True,0.00975323,7.0,7.0,REC,2062.65
True,-0.00845172,10.0,5.0,HES,20.0494
True,-0.00973132,8.0,2.0,REC,0.0
True,0.0195158,21.0,16.0,HES,3479.84
True,-0.0149007,21.0,35.0,REC,74087.8
True,-0.0328529,2.0,3.0,PRC,0.0
True,-0.0275415,3.0,5.0,PRC,0.0
True,-0.0849212,19.0,23.0,HES,20441.1
True,0.01049,10.0,13.0,REC,258.611
True,-0.00988398,2.0,3.0,PRC,0.0
True,0.00431733,7.0,1.0,REC,0.0
True,0.00765775,100.0,189.0,HES,60999.2
True,-0.0123957,5.0,3.0,REC,0.0
True,0.021715,9.0,1.0,HES,0.0
True,0.0017079,23.0,77.0,REC,7976.78
True,0.0532303,24.0,43.0,REC,1956.35
True,-0.0284623,25.0,19.0,HES,12616.5
True,0.0439054,7.0,1.0,HES,0.0
True,-0.000974559,12.0,16.0,HES,1908.95
True,0.00915121,9.0,13.0,HES,3457.67
True,-0.0116329,31.0,74.0,HES,6340.37
True,-0.0233717,17.0,11.0,HES,56.5265
True,-0.0595756,2.0,1.0,PRC,0.0
True,0.00716253,9.0,7.0,HES,3290.05
True,-0.0204393,8.0,18.0,HES,80.1788
True,-0.0106886,7.0,5.0,HES,5.25018
True,-0.0142573,23.0,28.0,HES,5460.78
True,-0.014379,7.0,3.0,PRC,0.0
True,0.068403,10.0,9.0,REC,63.6903
True,-0.00948155,22.0,9.0,HES,5.18178
True,-0.0188584,8.0,2.0,HES,0.0
True,-0.00523311,53.0,56.0,HES,24028.5
True,0.0248853,9.0,7.0,HES,51.6616
True,0.0342832,5.0,5.0,PRC,2782.08
True,0.0131576,2.0,1.0,PRC,0.0
True,-0.000567655,49.0,65.0,HES,17776.2
True,0.0198973,20.0,39.0,HES,7669.24
True,-0.0109185,6.0,4.0,HES,970.249
True,0.0137628,21.0,24.0,HES,295.854
True,-0.00218893,26.0,24.0,HES,728.039
True,-0.014438,12.0,27.0,REC,1144.63
True,0.0521742,10.0,3.0,HES,0.564073
True,-0.0163587,65.0,81.0,HES,22614.8
True,-0.0181269,20.0,11.0,HES,3190.81
True,0.0102866,29.0,48.0,HES,8733.68
True,-0.0099495,11.0,2.0,HES,0.0
True,0.00506766,30.0,38.0,PUB,3163.47
True,0.0124665,13.0,23.0,HES,2450.46
True,-0.0198042,10.0,3.0,HES,0.0
True,-0.0221762,24.0,27.0,HES,8967.83
True,-0.0134494,25.0,8.0,HES,7.78839
True,0.0204293,12.0,20.0,REC,2096.25
True,0.0440975,10.0,9.0,REC,6425.58
True,-0.09393,6.0,2.0,REC,0.0
True,0.0270719,20.0,8.0,HES,111.35
True,-0.000637866,10.0,4.0,HES,0.0
True,-0.0260377,13.0,3.0,HES,8.57926
True,0.0302959,17.0,11.0,HES,635.762
True,0.000625369,10.0,8.0,REC,19.9836
True,-0.0253411,7.0,3.0,HES,0.0
True,0.0448809,9.0,24.0,PRC,493.315
True,-0.00594199,16.0,53.0,REC,5492.63
True,-0.00148573,9.0,32.0,REC,204.207
True,0.00268723,10.0,12.0,HES,279.303
True,-0.0117894,36.0,39.0,HES,8595.38
True,-0.0182119,14.0,5.0,HES,165.369
True,-0.0479547,17.0,14.0,HES,300.013
True,0.0272993,20.0,9.0,HES,121.305
True,-0.0041264,12.0,7.0,HES,11.888
True,-0.024817,15.0,10.0,HES,6212.18
True,2.57257e-05,9.0,5.0,HES,3.03723
True,-0.0237569,4.0,9.0,REC,8.72872
True,0.0228027,25.0,110.0,REC,9554.64
True,-0.0109942,6.0,46.0,OTH,3100.61
True,0.00383204,22.0,86.0,PUB,13995.5
True,-0.010777,9.0,54.0,REC,709.007
True,0.00269066,3.0,18.0,REC,25.1612
True,-0.0123348,25.0,104.0,HES,32523.4
True,-0.000568085,5.0,39.0,PRC,144.605
True,0.0171104,2.0,7.0,REC,0.0
True,0.000715221,23.0,83.0,REC,7454.46
True,0.00339428,30.0,110.0,REC,12011.3
True,-0.0147673,3.0,6.0,OTH,3540.41
True,-0.0172657,4.0,33.0,REC,25.2507
True,0.00120371,12.0,58.0,REC,1155.05
True,-0.00454262,20.0,47.0,PUB,14485.9
True,-0.00656028,9.0,50.0,REC,358.322
True,-0.00521963,9.0,15.0,REC,561.219
True,-0.0158841,3.0,16.0,PRC,0.561513
True,-0.0122113,3.0,31.0,PRC,45.3411
True,0.00647791,13.0,75.0,REC,2584.35
True,0.0259564,20.0,48.0,REC,5462.94
True,0.000853748,14.0,70.0,PUB,1566.09
True,0.00109813,7.0,44.0,REC,1023.88
True,0.0179551,13.0,38.0,REC,5364.1
True,-0.0209436,3.0,19.0,REC,0.0
True,-0.0148218,5.0,4.0,REC,0.0
True,-0.0147756,61.0,46.0,HES,4640.78
True,0.0239075,3.0,7.0,REC,0.0
True,0.00367662,39.0,74.0,HES,26480.7
True,0.0113737,2.0,7.0,PRC,0.0
True,0.00820036,3.0,2.0,PRC,3136.0
