"stableDegree";"stablePartners";"K-Core";"TentativeSIC";"acronym";"activityType";"barPower";"betwCentrality";"birthDate";"call";"city";"commDate";"country";"ecContribution";"ecMaxContribution";"endDate";"endOfParticipation";"fundingScheme";"intimacy";"manager";"moneyTogether";"myMoney";"name";"numPartners";"numProjects";"objective";"orgId";"organizationUrl";"postCode";"programme";"projectNode";"projectUrl";"projectsTogether";"rcn";"relationshipValue";"role";"shortName";"startDate";"status";"street";"topics";"totMoney";"totalCost";"wBarPower";"weightedBarPower"
214;107;0;;;"HES";0;32074.4;0;;"BIRMINGHAM";0;"UK";0;0;;false;;0;false;0;0;"THE UNIVERSITY OF BIRMINGHAM";572;113;;"999907526";;;;false;;0;;0;;"UoB";;;"Edgbaston";;5.22483e+07;0;0;0.0196492
2;1;0;;;"HES";0;0;0;;"ISTANBUL";0;"TR";0;0;;false;;0;false;0;0;"KOC UNIVERSITY";40;15;;"999901512";;;;false;;0;;0;;"KOC";;;"RUMELI FENERI YOLU SARIYER";;8.82745e+06;0;0;0.0351677
62;31;0;;;"HES";0;12791.9;0;;"MILTON KEYNES";0;"UK";0;0;;false;;0;false;0;0;"THE OPEN UNIVERSITY";259;30;;"999923337";;;;false;;0;;0;;"OU";;;"WALTON HALL";;1.07549e+07;0;0;0.0161789
262;131;0;;;"HES";0;39370.5;0;;"MUENCHEN";0;"DE";0;0;;false;;0;false;0;0;"TECHNISCHE UNIVERSITAET MUENCHEN";816;103;;"999977463";;;;false;;0;;0;;"TUM";;;"Arcisstrasse  21";;6.6581e+07;0;0;0.00421538
106;53;0;;;"REC";0;20498;0;;"ROMA";0;"IT";0;0;;false;;0;false;0;0;"AGENZIA PER LA PROMOZIONE DELLA RICERCA EUROPEA";223;36;;"999514191";;;;false;;0;;0;;"APRE";;;"VIA CAVOUR 71";;6.84041e+06;0;0;0.016977
22;11;0;;;"PUB";0;9402;0;;"SOFIA";0;"BG";0;0;;false;;0;false;0;0;"GIS-TRANSFERCENTER FOUNDATION";31;4;;"999419034";;;;false;;0;;0;;"GIS-TRANSFERCENTER FOUNDATION";;;"Akad. G. Bonchev Street, Block 4";;111225;0;0;-0.0438124
142;71;0;;;"PUB";0;23439.6;0;;"VIENNA";0;"AT";0;0;;false;;0;false;0;0;"OESTERREICHISCHE FORSCHUNGSFOERDERUNGSGESELLSCHAFT MBH";190;26;;"999507207";;;;false;;0;;0;;"FFG";;;"Sensengasse  1";;9.91914e+06;0;0;0.0404845
126;63;0;;;"OTH";0;2315.47;0;;"TARTU";0;"EE";0;0;;false;;0;false;0;0;"SIHTASUTUS EESTI TEADUSAGENTUUR";182;20;;"998483760";;;;false;;0;;0;;"ETAg";;;"SOOLA 8";;1.36276e+06;0;0;-0.0259858
68;34;0;;;"PUB";0;8044.61;0;;"ANGERS";0;"FR";0;0;;false;;0;false;0;0;"AGENCE DE L'ENVIRONNEMENT ET DE LA MAITRISE DE L'ENERGIE";107;9;;"999963301";;;;false;;0;;0;;"ADEME";;;"avenue du Gresille 20";;4.18011e+06;0;0;0.0455152
160;80;0;;;"OTH";0;8985.35;0;;"LEFKOSIA";0;"CY";0;0;;false;;0;false;0;0;"IDRYMA PROOTHISIS EREVNAS";183;28;;"999946035";;;;false;;0;;0;;"RPF";;;"STROVOLOS 123";;2.74594e+06;0;0;-0.0205787
